cenario_calibracao,politica,parametro,valor_escolhido_validacao,n_total,n_accepted,n_abstained,coverage,abstention_rate,accuracy_accepted,error_accepted,f1_macro_accepted,recall_macro_accepted,precision_macro_accepted
sem_calibracao,probabilidade_maxima,tau,0.9,247,234,13,0.9473684210526315,0.05263157894736842,0.9957264957264957,0.004273504273504258,0.9564270152505446,0.9444444444444444,0.9876543209876544
isotonica,margem_top1_top2,delta,0.3,247,242,5,0.979757085020243,0.020242914979757085,0.9793388429752066,0.02066115702479343,0.9110787280723438,0.9208855202565894,0.9115672276049634
sem_calibracao,margem_top1_top2,delta,0.0,247,247,0,1.0,0.0,0.979757085020243,0.020242914979757054,0.9101584288564685,0.9253287475509698,0.9261158594491928
sigmoid,margem_top1_top2,delta,0.25,247,247,0,1.0,0.0,0.97165991902834,0.028340080971659964,0.8581862706084763,0.8459048792382126,0.8910934744268076
isotonica,probabilidade_maxima,tau,0.9,247,221,26,0.8947368421052632,0.10526315789473684,0.9909502262443439,0.009049773755656076,0.8248258159149249,0.8194444444444444,0.8311546840958606
sigmoid,probabilidade_maxima,tau,0.9,247,232,15,0.9392712550607287,0.06072874493927125,0.9956896551724138,0.004310344827586188,0.7703703703703704,0.7638888888888888,0.7777777777777778
