cenario_calibracao,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_macro_ovr,pr_auc_macro_ovr,brier_multiclass,ece,thresholds
isotonica,0.9757085020242915,0.9364398586620809,0.9190134579023468,0.9364398586620809,0.9233242186186599,0.9776162348883656,0.991302726031987,0.9165971334037669,0.04618832496157814,0.02109045668455365,"{""Healthy"": 0.65, ""Iron deficiency anemia"": 0.2, ""Leukemia"": 0.8, ""Leukemia with thrombocytopenia"": 0.05, ""Macrocytic anemia"": 0.05, ""Normocytic hypochromic anemia"": 0.1, ""Normocytic normochromic anemia"": 0.15, ""Other microcytic anemia"": 0.55, ""Thrombocytopenia"": 0.1}"
sem_calibracao,0.979757085020243,0.9253287475509698,0.9261158594491928,0.9253287475509698,0.9101584288564685,0.9803695080380957,0.9981661630759427,0.9233884308268502,0.032514683875249764,0.014397074336465058,"{""Healthy"": 0.05, ""Iron deficiency anemia"": 0.1, ""Leukemia"": 0.8, ""Leukemia with thrombocytopenia"": 0.05, ""Macrocytic anemia"": 0.15, ""Normocytic hypochromic anemia"": 0.1, ""Normocytic normochromic anemia"": 0.15, ""Other microcytic anemia"": 0.45, ""Thrombocytopenia"": 0.1}"
sigmoid,0.97165991902834,0.8459048792382126,0.8910934744268076,0.8459048792382126,0.8581862706084763,0.9724794756102092,0.9985169323349612,0.9330948766444069,0.04713983069638036,0.0554426614154425,"{""Healthy"": 0.6, ""Iron deficiency anemia"": 0.35, ""Leukemia"": 0.1, ""Leukemia with thrombocytopenia"": 0.05, ""Macrocytic anemia"": 0.3, ""Normocytic hypochromic anemia"": 0.15, ""Normocytic normochromic anemia"": 0.3, ""Other microcytic anemia"": 0.4, ""Thrombocytopenia"": 0.05}"
