classe,quantidade,percentual
Healthy,323,0.2621753246753247
Normocytic hypochromic anemia,271,0.21996753246753248
Normocytic normochromic anemia,255,0.2069805194805195
Iron deficiency anemia,184,0.14935064935064934
Thrombocytopenia,72,0.05844155844155844
Other microcytic anemia,56,0.045454545454545456
Leukemia,44,0.03571428571428571
Macrocytic anemia,16,0.012987012987012988
Leukemia with thrombocytopenia,11,0.008928571428571428
