,Healthy,Iron deficiency anemia,Leukemia,Leukemia with thrombocytopenia,Macrocytic anemia,Normocytic hypochromic anemia,Normocytic normochromic anemia,Other microcytic anemia,Thrombocytopenia
Healthy,0.9846153846153847,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0
Iron deficiency anemia,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
Leukemia,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Leukemia with thrombocytopenia,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Macrocytic anemia,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
Normocytic hypochromic anemia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Normocytic normochromic anemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Other microcytic anemia,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091,0.0
Thrombocytopenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
