Classe,Quantidade,Percentual
Healthy,336,26.229508196721312
Normocytic hypochromic anemia,279,21.779859484777518
Normocytic normochromic anemia,269,20.9992193598751
Iron deficiency anemia,189,14.754098360655737
Thrombocytopenia,73,5.698672911787666
Other microcytic anemia,59,4.605776736924279
Leukemia,47,3.669008587041374
Macrocytic anemia,18,1.405152224824356
Leukemia with thrombocytopenia,11,0.858704137392662
