Classe,Quantidade,Percentual
Healthy,323,26.217532467532468
Normocytic hypochromic anemia,271,21.996753246753247
Normocytic normochromic anemia,255,20.698051948051948
Iron deficiency anemia,184,14.935064935064934
Thrombocytopenia,72,5.844155844155844
Other microcytic anemia,56,4.545454545454546
Leukemia,44,3.571428571428571
Macrocytic anemia,16,1.2987012987012987
Leukemia with thrombocytopenia,11,0.8928571428571428
