politica,parametro,valor,n_total,n_accepted,n_abstained,coverage,abstention_rate,accuracy_accepted,error_accepted,f1_macro_accepted,recall_macro_accepted,precision_macro_accepted,cenario_calibracao
probabilidade_maxima,tau,0.5,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.55,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.6,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.65,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.7,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.75,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.8,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8806278140249021,0.8858024691358025,0.876094276094276,sem_calibracao
probabilidade_maxima,tau,0.85,247,242,5,0.979757085020243,0.020242914979757085,0.9917355371900827,0.008264462809917328,0.879939819528858,0.8858024691358025,0.8748597081930415,sem_calibracao
probabilidade_maxima,tau,0.9,247,239,8,0.9676113360323887,0.032388663967611336,1.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,sem_calibracao
probabilidade_maxima,tau,0.95,247,232,15,0.9392712550607287,0.06072874493927125,1.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,sem_calibracao
margem_top1_top2,delta,0.0,247,247,0,1.0,0.0,0.9878542510121457,0.012145748987854255,0.8754075313418616,0.8858858858858859,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.05,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.1,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.15,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.2,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.25,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.3,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.35,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.4,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.45,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
margem_top1_top2,delta,0.5,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sem_calibracao
probabilidade_maxima,tau,0.5,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sigmoid
probabilidade_maxima,tau,0.55,247,245,2,0.9919028340080972,0.008097165991902834,0.9877551020408163,0.01224489795918371,0.8753646561301652,0.8858024691358025,0.867003367003367,sigmoid
probabilidade_maxima,tau,0.6,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,sigmoid
probabilidade_maxima,tau,0.65,247,242,5,0.979757085020243,0.020242914979757085,0.9917355371900827,0.008264462809917328,0.8765432098765432,0.8888888888888888,0.8666666666666667,sigmoid
probabilidade_maxima,tau,0.7,247,241,6,0.9757085020242915,0.024291497975708502,0.991701244813278,0.008298755186721962,0.875,0.8888888888888888,0.8641975308641975,sigmoid
probabilidade_maxima,tau,0.75,247,240,7,0.97165991902834,0.02834008097165992,0.9958333333333333,0.004166666666666652,0.8814814814814815,0.8888888888888888,0.875,sigmoid
probabilidade_maxima,tau,0.8,247,239,8,0.9676113360323887,0.032388663967611336,0.99581589958159,0.004184100418409997,0.8814814814814815,0.8888888888888888,0.875,sigmoid
